,Area,Item,Year,Value
159856,Turkmenistan,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
160665,Tuvalu,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
160672,Tuvalu,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
160679,Tuvalu,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
161373,Uganda,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,74.2
161380,Uganda,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,71.7
161387,Uganda,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,76.6
162275,Ukraine,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,28.2
162282,Ukraine,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,25.3
162289,Ukraine,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,31.1
163202,United Arab Emirates,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,9.8
163209,United Arab Emirates,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,8.1
163216,United Arab Emirates,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,11.5
164023,United Kingdom of Great Britain and Northern Ireland,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,4.1
164030,United Kingdom of Great Britain and Northern Ireland,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,3.1
164037,United Kingdom of Great Britain and Northern Ireland,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,5
164911,United Republic of Tanzania,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,58.7
164918,United Republic of Tanzania,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,56.6
164925,United Republic of Tanzania,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,60.9
165855,United States of America,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,7.8
165862,United States of America,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,7.7
165869,United States of America,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,7.9
166806,Uruguay,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,15.2
166813,Uruguay,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,14.1
166820,Uruguay,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,16.3
167722,Uzbekistan,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,26.1
167729,Uzbekistan,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,23.5
167736,Uzbekistan,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,28.7
168633,Vanuatu,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,23.3
168640,Vanuatu,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,21.1
168647,Vanuatu,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,25.5
169481,Venezuela (Bolivarian Republic of),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
169488,Venezuela (Bolivarian Republic of),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
169495,Venezuela (Bolivarian Republic of),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
170410,Viet Nam,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,9
170417,Viet Nam,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,7.9
170424,Viet Nam,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,10
171310,Yemen,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,67.2
171317,Yemen,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,63.2
171324,Yemen,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,71.2
172179,Zambia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,73.1
172186,Zambia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,70.2
172193,Zambia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,76
173073,Zimbabwe,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,73.6
173080,Zimbabwe,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,69.4
173087,Zimbabwe,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,77.8
174246,World,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,29.5
174253,World,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,29.1
174260,World,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,30
175678,Africa,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,58.9
175685,Africa,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,58.3
175692,Africa,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,59.6
176982,Eastern Africa,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,67.5
176989,Eastern Africa,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,66.3
176996,Eastern Africa,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,68.8
178370,Middle Africa,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,74.7
178377,Middle Africa,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,73.4
178384,Middle Africa,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,76
179758,Northern Africa,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,32.2
179765,Northern Africa,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,30.9
179772,Northern Africa,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,33.5
181142,Northern Africa (excluding Sudan),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,28
181149,Northern Africa (excluding Sudan),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,26.4
181156,Northern Africa (excluding Sudan),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,29.5
182269,Southern Africa,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,25.1
182276,Southern Africa,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,24.2
182283,Southern Africa,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,26.1
183614,Western Africa,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,64.1
183621,Western Africa,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,62.8
183628,Western Africa,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,65.4
185002,Sub-Saharan Africa,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,64.9
185009,Sub-Saharan Africa,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,64.2
185016,Sub-Saharan Africa,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,65.7
186254,Sub-Saharan Africa (including Sudan),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,64.4
186261,Sub-Saharan Africa (including Sudan),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,63.7
186268,Sub-Saharan Africa (including Sudan),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,65.2
187382,Northern America and Europe,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,7.8
187389,Northern America and Europe,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,7.6
187396,Northern America and Europe,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,8.1
188615,Northern America,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,7.8
188622,Northern America,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,7.7
188629,Northern America,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,7.9
189998,Europe,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,7.8
190005,Europe,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,7.5
190012,Europe,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,8.2
191382,Eastern Europe,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,10.5
191389,Eastern Europe,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,9.9
191396,Eastern Europe,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,11.2
192766,Northern Europe,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,5.1
192773,Northern Europe,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,4.4
192780,Northern Europe,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,5.8
194150,Southern Europe,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,8.5
194157,Southern Europe,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,7.6
194164,Southern Europe,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,9.3
195534,Western Europe,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,4.9
195541,Western Europe,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,4.1
195548,Western Europe,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,5.6
196918,Latin America and the Caribbean,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,39
196925,Latin America and the Caribbean,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,37.5
196932,Latin America and the Caribbean,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,40.6
198306,Central America,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,34.3
198313,Central America,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,33.5
198320,Central America,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,35
199694,Caribbean,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,61.8
199701,Caribbean,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,60.2
199708,Caribbean,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,63.5
201040,South America,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,38.7
201047,South America,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,36.4
201054,South America,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,40.9
202428,Asia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,24.8
202435,Asia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,24.1
202442,Asia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,25.5
203816,Central Asia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,18.4
203823,Central Asia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,17.2
203830,Central Asia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,19.7
205183,Eastern Asia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,6.7
205190,Eastern Asia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,5.9
205197,Eastern Asia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,7.5
206550,Southern Asia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,41.3
206557,Southern Asia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,39.8
206564,Southern Asia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,42.9
207938,Southern Asia (excluding India),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,39.9
207945,Southern Asia (excluding India),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,38.7
207952,Southern Asia (excluding India),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,41.1
209066,South-eastern Asia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,16.4
209073,South-eastern Asia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,15.8
209080,South-eastern Asia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,17
210454,Western Asia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,36.5
210461,Western Asia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,35.1
210468,Western Asia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,37.8
211842,Central Asia and Southern Asia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,40.5
211849,Central Asia and Southern Asia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,39
211856,Central Asia and Southern Asia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,42
213171,Eastern Asia and South-eastern Asia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,9.5
213178,Eastern Asia and South-eastern Asia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,8.9
213185,Eastern Asia and South-eastern Asia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,10.1
214385,Western Asia and Northern Africa,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,34.5
214392,Western Asia and Northern Africa,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,33.5
214399,Western Asia and Northern Africa,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,35.4
215619,Oceania,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,12.7
215626,Oceania,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,11.6
215633,Oceania,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,13.8
216982,Australia and New Zealand,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,12
216989,Australia and New Zealand,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,10.5
216996,Australia and New Zealand,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,13.6
218345,Melanesia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
218352,Melanesia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
218359,Melanesia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
219689,Micronesia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
219696,Micronesia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
219703,Micronesia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
221037,Polynesia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
221044,Polynesia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
221051,Polynesia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
222412,Oceania excluding Australia and New Zealand,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
222419,Oceania excluding Australia and New Zealand,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
222426,Oceania excluding Australia and New Zealand,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
223657,Least Developed Countries,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,59.3
223664,Least Developed Countries,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,58.6
223671,Least Developed Countries,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,60.1
225003,Land Locked Developing Countries,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,56.2
225010,Land Locked Developing Countries,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,55.1
225017,Land Locked Developing Countries,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,57.2
226255,Small Island Developing States,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,46.8
226262,Small Island Developing States,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,45.7
226269,Small Island Developing States,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,47.8
227465,Low Income Food Deficit Countries,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,62.7
227472,Low Income Food Deficit Countries,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,62
227479,Low Income Food Deficit Countries,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,63.4
228697,Low income economies,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,65.7
228704,Low income economies,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,64.8
228711,Low income economies,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,66.6
229961,Lower-middle-income economies,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,39.6
229968,Lower-middle-income economies,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,38.6
229975,Lower-middle-income economies,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,40.5
231225,High-income economies,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,7.6
231232,High-income economies,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,7.3
231239,High-income economies,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,7.8
232487,Upper-middle-income economies,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,16.2
232494,Upper-middle-income economies,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,15.5
232501,Upper-middle-income economies,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,16.8
